Number,Tool,Category,Subcategory,Description,Query,GPT-4's response
1,FFmpeg,Video Processing,Format Conversion,Convert MP4 to AVI,How do I convert an MP4 file to AVI using FFmpeg?,"ffmpeg -i input.mp4 output.avi

FFmpeg automatically handles format conversion while preserving quality."
2,FFmpeg,Video Processing,Format Conversion,Transcode H.264 to H.265,Can FFmpeg transcode an H.264 file to H.265?,"ffmpeg -i input.mp4 -c:v libx265 -crf 28 -preset medium output.mp4

Adjust -crf (constant rate factor) for quality; lower values mean higher quality."
3,FFmpeg,Video Processing,Format Conversion,Convert WebM to MP4 without quality loss,How do I convert WebM to MP4 without losing quality?,"ffmpeg -i input.webm -c:v copy -c:a copy output.mp4

The -c:v copy and -c:a copy options avoid re-encoding."
4,FFmpeg,Video Processing,Format Conversion,Change container format from MKV to MP4 without re-encoding,Can I change the container format from MKV to MP4 without re-encoding the streams?,"ffmpeg -i input.mkv -c copy output.mp4

The -c copy option transfers streams directly without re-encoding."
5,FFmpeg,Video Processing,Format Conversion,Convert video to HEVC (H.265),How do I convert a video to an HEVC (H.265) format in FFmpeg?,"ffmpeg -i input.mp4 -c:v libx265 -preset medium -crf 28 output.mp4

Choose -preset for encoding speed and -crf for quality control."
6,FFmpeg,Video Processing,Video Manipulation,Resize video,How do I resize a video using FFmpeg?,"ffmpeg -i input.mp4 -vf scale=1280:720 output.mp4

Replace 1280:720 with the desired resolution."
7,FFmpeg,Video Processing,Video Manipulation,Crop video,Can I crop a video with FFmpeg?,"ffmpeg -i input.mp4 -vf crop=width:height:x:y output.mp4

Example: crop=640:360:0:0 crops a 640x360 area starting at (0,0)."
8,FFmpeg,Video Processing,Video Manipulation,"Rotate video (e.g., 90 degrees)",How can I rotate a video by 90 degrees in FFmpeg?,"ffmpeg -i input.mp4 -vf ""transpose=1"" output.mp4

Use transpose=1 (90° clockwise) or transpose=2 (90° counterclockwise)."
9,FFmpeg,Video Processing,Video Manipulation,Change video frame rate,How do I change the frame rate of a video in FFmpeg?,"ffmpeg -i input.mp4 -r 30 output.mp4

Replace 30 with the desired frame rate."
10,FFmpeg,Video Processing,Video Manipulation,Adjust video aspect ratio,How do I adjust the aspect ratio of a video in FFmpeg?,"ffmpeg -i input.mp4 -aspect 16:9 output.mp4

This changes the aspect ratio flag without altering pixel dimensions."
11,FFmpeg,Video Processing,Video Manipulation,Add letterboxing to video,How can I add letterboxing to a video with FFmpeg?,"ffmpeg -i input.mp4 -vf ""scale=1280:720:force_original_aspect_ratio=decrease,pad=1280:720:(ow-iw)/2:(oh-ih)/2"" output.mp4"
12,FFmpeg,Video Processing,Video Manipulation,Apply deinterlacing,How do I apply deinterlacing to a video using FFmpeg?,ffmpeg -i input.mp4 -vf yadif output.mp4
13,FFmpeg,Video Processing,Video Manipulation,Stabilize shaky video footage,Can FFmpeg stabilize shaky video footage?,"Install ffmpeg with vidstab support and use:

ffmpeg -i input.mp4 -vf vidstabdetect=shakiness=10:accuracy=15 transform_vectors.trf
ffmpeg -i input.mp4 -vf vidstabtransform=smoothing=30:input=transform_vectors.trf output.mp4"
14,FFmpeg,Video Processing,Video Manipulation,Flip video horizontally,How do I flip a video horizontally using FFmpeg?,ffmpeg -i input.mp4 -vf hflip output.mp4
15,FFmpeg,Video Processing,Video Quality & Compression,Adjust bitrate for video encoding,How can I adjust the bitrate for video encoding in FFmpeg?,"ffmpeg -i input.mp4 -b:v 1M output.mp4

Replace 1M with the desired bitrate."
16,FFmpeg,Video Processing,Video Quality & Compression,Control video quality options,What are the options for controlling video quality in FFmpeg?,"Use CRF for quality control:

ffmpeg -i input.mp4 -c:v libx264 -crf 23 output.mp4"
17,FFmpeg,Video Processing,Video Quality & Compression,Apply compression presets for faster encoding,How do I apply compression presets for faster encoding with FFmpeg?,ffmpeg -i input.mp4 -preset faster output.mp4
18,FFmpeg,Video Processing,Video Quality & Compression,Enable two-pass encoding for better quality,How do I enable two-pass encoding in FFmpeg for better quality?,"Pass 1:

ffmpeg -y -i input.mp4 -c:v libx264 -b:v 1M -pass 1 -an -f mp4 /dev/null

Pass 2:

ffmpeg -i input.mp4 -c:v libx264 -b:v 1M -pass 2 output.mp4"
19,FFmpeg,Video Processing,Video Quality & Compression,Use hardware acceleration for encoding,Can I use hardware acceleration for encoding with FFmpeg?,"Example for NVIDIA GPUs:

ffmpeg -i input.mp4 -c:v h264_nvenc output.mp4"
20,FFmpeg,Video Processing,Video Effects & Filters,Add watermark to video,How do I add a watermark to a video using FFmpeg?,"ffmpeg -i input.mp4 -i watermark.png -filter_complex ""overlay=10:10"" output.mp4"
21,FFmpeg,Video Processing,Video Effects & Filters,Apply color correction,Can I apply color correction to a video in FFmpeg?,ffmpeg -i input.mp4 -vf eq=brightness=0.1:contrast=1.2:saturation=1.3 output.mp4
22,FFmpeg,Video Processing,Video Effects & Filters,Adjust brightness and contrast,How do I adjust the brightness and contrast in FFmpeg?,ffmpeg -i input.mp4 -vf eq=brightness=0.1:contrast=1.2 output.mp4
23,FFmpeg,Video Processing,Video Effects & Filters,Add subtitles to video,How do I add subtitles to a video using FFmpeg?,ffmpeg -i input.mp4 -vf subtitles=subtitle.srt output.mp4
24,FFmpeg,Video Processing,Video Effects & Filters,Apply blur effect,Can I apply a blur effect to a video with FFmpeg?,"ffmpeg -i input.mp4 -vf ""boxblur=10:10"" output.mp4"
25,FFmpeg,Video Processing,Video Effects & Filters,Sharpen video,How can I sharpen a video using FFmpeg?,ffmpeg -i input.mp4 -vf unsharp output.mp4
26,FFmpeg,Video Processing,Video Effects & Filters,Add transitions between clips,How do I add transitions between clips in FFmpeg?,"Combine clips with fades:

ffmpeg -i clip1.mp4 -i clip2.mp4 -filter_complex ""[0:v]fade=out:30:"
27,FFmpeg,Video Processing,Video Effects & Filters,Apply LUT to video,How do I apply a LUT to a video in FFmpeg?,ffmpeg -i input.mp4 -vf lut3d=file.cube output.mp4
28,FFmpeg,Audio Processing,Audio Format Conversion,Convert MP3 to WAV,How do I convert an MP3 file to WAV using FFmpeg?,ffmpeg -i input.mp3 output.wav
29,FFmpeg,Audio Processing,Audio Format Conversion,Convert FLAC to AAC,Can FFmpeg convert FLAC to AAC?,ffmpeg -i input.flac -c:a aac output.m4a
30,FFmpeg,Audio Processing,Audio Format Conversion,Extract audio from video,How can I extract audio from a video file using FFmpeg?,ffmpeg -i input.mp4 -q:a 0 -map a output.mp3
31,FFmpeg,Audio Processing,Audio Format Conversion,Change audio codec,How do I change the codec of an audio file in FFmpeg?,ffmpeg -i input.wav -c:a libmp3lame output.mp3
32,FFmpeg,Audio Processing,Audio Manipulation,Adjust audio volume,How do I adjust the volume of an audio file in FFmpeg?,"ffmpeg -i input.mp3 -filter:a ""volume=1.5"" output.mp3"
33,FFmpeg,Audio Processing,Audio Manipulation,Change audio speed,How do I change the speed of an audio file in FFmpeg?,"ffmpeg -i input.mp3 -filter:a ""atempo=1.5"" output.mp3"
34,FFmpeg,Audio Processing,Audio Manipulation,Modify sample rate,How do I modify the sample rate of an audio file in FFmpeg?,ffmpeg -i input.wav -ar 44100 output.wav
35,FFmpeg,Audio Processing,Audio Manipulation,Change audio channels,Can I change the number of channels in an audio file with FFmpeg?,ffmpeg -i input.wav -ac 2 output.wav
36,FFmpeg,Audio Processing,Audio Manipulation,Normalize audio,How can I normalize audio in FFmpeg?,ffmpeg -i input.wav -filter:a loudnorm output.wav
37,FFmpeg,Audio Processing,Audio Manipulation,Remove silence from audio,How do I remove silence from an audio file using FFmpeg?,ffmpeg -i input.wav -af silenceremove=1:0:-50dB output.wav
38,FFmpeg,Audio Processing,Audio Effects,Add fade-in effect,How do I add a fade-in effect to an audio file using FFmpeg?,"ffmpeg -i input.mp3 -af ""afade=t=in:st=0:d=5"" output.mp3"
39,FFmpeg,Audio Processing,Audio Effects,Apply echo effect,How can I apply an echo effect to an audio file in FFmpeg?,"ffmpeg -i input.mp3 -af ""aecho=0.8:0.88:60:0.4"" output.mp3"
40,FFmpeg,Audio Processing,Audio Effects,Perform noise reduction,Can FFmpeg apply noise reduction to audio files?,Use ffmpeg with sox or similar libraries.
41,FFmpeg,Audio Processing,Audio Effects,Compress audio,How do I compress audio using FFmpeg?,ffmpeg -i input.mp3 -b:a 128k output.mp3
42,FFmpeg,Audio Processing,Audio Effects,Equalize audio,How do I equalize audio in FFmpeg?,"ffmpeg -i input.wav -af ""equalizer=f=1000:t=q:w=1:g=5"" output.wav"
43,FFmpeg,Streaming & Broadcasting,Stream Handling,Stream video to YouTube,How can I stream a video to YouTube using FFmpeg?,"ffmpeg -re -i input.mp4 -c:v libx264 -b:v 2500k -c:a aac -ar 44100 -b:a 128k -f flv rtmp://a.rtmp.youtube.com/live2/your-stream-key

Replace your-stream-key with the key provided by YouTube."
44,FFmpeg,Streaming & Broadcasting,Stream Handling,Capture live streams,How do I capture live streams with FFmpeg?,ffmpeg -i http://example.com/stream.m3u8 -c copy output.ts
45,FFmpeg,Streaming & Broadcasting,Stream Handling,Create HLS stream,How do I create an HLS stream with FFmpeg?,ffmpeg -i input.mp4 -codec: copy -start_number 0 -hls_time 10 -hls_list_size 0 -f hls stream.m3u8
46,FFmpeg,Streaming & Broadcasting,Stream Handling,Stream using adaptive bitrate,Can I stream using adaptive bitrate with FFmpeg?,"Yes, generate multiple bitrate versions and an HLS master playlist:

ffmpeg -i input.mp4 -vf scale=1280:720 -c:v libx264 -b:v 3000k -hls_segment_filename 720p_%03d.ts 720p.m3u8
ffmpeg -i input.mp4 -vf scale=854:480 -c:v libx264 -b:v 1500k -hls_segment_filename 480p_%03d.ts 480p.m3u8
# Combine in a master playlist manually"
47,FFmpeg,Streaming & Broadcasting,Broadcasting Features,Generate HLS playlist,How do I generate an HLS playlist with FFmpeg?,ffmpeg -i input.mp4 -hls_time 10 -hls_list_size 0 -f hls playlist.m3u8
